chembl_id,drug_name,SMILES,from_protein,from_pathway,from_moa,protein_row_indices,pathway_row_indices,moa_row_indices,phase,status,gene_symbols,pathways,pathway_ids,mechanisms,disease_ids,disease_names,support_sources_count,n_genes,n_pathways,n_moas
CHEMBL1201749,DIFLUPREDNATE,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,True,True,True,42,734;2043;5958;7862;7999;8065;8136;8202;8268,174,4.0,,NR3C1,"Circadian Clock;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Nuclear Receptor transcription pathway;PTK6 Expression;Potential therapeutics for SARS;Regulation of NPAS4 gene transcription;Regulation of RUNX2 expression and activity;SUMOylation of intracellular receptors",R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,EFO_1000811,anterior uveitis,3,1,9,1
CHEMBL1201752,IXABEPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,True,True,True,808;1540;1975;2217;2319;2385;2692;2756;2820,1521;1585;1649;1713;1777;1841;1905;2070;2134;2198;2262;2326;2390;2454;2518;2582;2646;2710;2774;2838;2902;2966;3036;3100;3164;3228;3292;3356;3420;3484;3548;3639;3703;3767;3831;3895;3959;4026,50,4.0,,TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8,AURKA Activation by TPX2;Activation of AMPK downstream of NMDARs;Aggrephagy;Anchoring of the basal body to the plasma membrane;Assembly and cell surface presentation of NMDA receptors;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;COPI-mediated anterograde transport;Carboxyterminal post-translational modifications of tubulin;Cilium Assembly;EML4 and NUDC in mitotic spindle formation;Formation of tubulin folding intermediates by CCT/TriC;Gap junction assembly;HCMV Early Events;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Hedgehog 'off' state;Intraflagellar transport;Kinesins;Loss of Nlp from mitotic centrosomes;Loss of proteins required for interphase microtubule organization from the centrosome;MHC class II antigen presentation;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Mitotic Prometaphase;Neutrophil degranulation;PKR-mediated signaling;Post-chaperonin tubulin folding pathway;Prefoldin mediated transfer of substrate to CCT/TriC;RHO GTPases Activate Formins;RHO GTPases activate IQGAPs;Recruitment of NuMA to mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes;Recycling pathway of L1;Regulation of PLK1 Activity at G2/M Transition;Resolution of Sister Chromatid Cohesion;Sealing of the nuclear envelope (NE) by ESCRT-III;Separation of Sister Chromatids;The role of GTSE1 in G2/M progression after G2 checkpoint;Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1445148;R-HSA-190840;R-HSA-190861;R-HSA-2132295;R-HSA-2467813;R-HSA-2500257;R-HSA-2565942;R-HSA-3371497;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-389957;R-HSA-389960;R-HSA-389977;R-HSA-437239;R-HSA-5610787;R-HSA-5617833;R-HSA-5620912;R-HSA-5620924;R-HSA-5626467;R-HSA-5663220;R-HSA-6798695;R-HSA-6807878;R-HSA-6811434;R-HSA-6811436;R-HSA-68877;R-HSA-8852276;R-HSA-8854518;R-HSA-8955332;R-HSA-9609690;R-HSA-9609736;R-HSA-9619483;R-HSA-9646399;R-HSA-9648025;R-HSA-9668328;R-HSA-983189;R-HSA-9833482,Tubulin inhibitor,EFO_0000305,breast carcinoma,3,9,38,1
CHEMBL1201753,PITAVASTATIN,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,True,True,False,736,7615;7630;7645;7660,,4.0,,HMGCR,Activation of gene expression by SREBF (SREBP);Cholesterol biosynthesis;EGR2 and SOX10-mediated initiation of Schwann cell myelination;PPARA activates gene expression,R-HSA-191273;R-HSA-1989781;R-HSA-2426168;R-HSA-9619665,,EFO_0000319,cardiovascular disease,2,1,4,0
CHEMBL1201758,BEPOTASTINE,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,True,True,False,1031,6661,,3.0,Completed,HRH1,G alpha (q) signalling events,R-HSA-416476,,EFO_1001417,"Rhinitis, Allergic, Perennial",2,1,1,0
CHEMBL1201759,BEPOTASTINE BESYLATE,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1.O=S(=O)(O)c1ccccc1,True,True,False,973,6603,,4.0,,HRH1,G alpha (q) signalling events,R-HSA-416476,,EFO_0007141,allergic conjunctivitis,2,1,1,0
CHEMBL1201770,METHYLNALTREXONE BROMIDE,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.[Br-],True,True,False,301,271;1305;7218,,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,,EFO_0005611,opioid dependence,2,1,3,0
CHEMBL1201772,PRASUGREL,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,True,True,False,471,1356,,3.0,Completed,P2RY12,G alpha (i) signalling events,R-HSA-418594,,EFO_0000275,atrial fibrillation,2,1,1,0
CHEMBL1201773,PRASUGREL HYDROCHLORIDE,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2.Cl,True,True,False,466,1351,,4.0,,P2RY12,G alpha (i) signalling events,R-HSA-418594,,EFO_0000612,myocardial infarction,2,1,1,0
CHEMBL1201776,TAPENTADOL,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,True,True,False,303,273;1307;7220,,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,,EFO_0003843,pain,2,1,3,0
CHEMBL1201777,TAPENTADOL HYDROCHLORIDE,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.Cl,True,True,True,304,274;1308;7221,649,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,Mu opioid receptor agonist,EFO_0003843,pain,3,1,3,1
CHEMBL1201782,FOSAPREPITANT DIMEGLUMINE,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,False,False,True,,,536,,,,,,Neurokinin 1 receptor antagonist,,,1,0,0,1
CHEMBL1201825,RANIBIZUMAB,N/A,False,True,False,,419;463;475;487;499;511;523;535;585;798,,4.0,,VEGFA,Interleukin-4 and Interleukin-13 signaling;Platelet degranulation;Potential therapeutics for SARS;Regulation of gene expression by Hypoxia-inducible Factor;Signaling by VEGF;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors;VEGF binds to VEGFR leading to receptor dimerization;VEGF ligand-receptor interactions;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferation,R-HSA-114608;R-HSA-1234158;R-HSA-194138;R-HSA-194313;R-HSA-195399;R-HSA-4420097;R-HSA-5218921;R-HSA-6785807;R-HSA-8866910;R-HSA-9679191,,EFO_0003770,diabetic retinopathy,1,1,10,0
CHEMBL1201828,ECULIZUMAB,N/A,False,True,False,,1234;7171;7732;7744;7756,,4.0,,C5,Activation of C3 and C5;G alpha (i) signalling events;Peptide ligand-binding receptors;Regulation of Complement cascade;Terminal pathway of complement,R-HSA-166665;R-HSA-174577;R-HSA-375276;R-HSA-418594;R-HSA-977606,,EFO_0000540,immune system disease,1,1,5,0
CHEMBL1201830,RILONACEPT,N/A,False,True,False,,163;4188;4351;4355;4359;4396;4535,,4.0,,IL1B,CLEC7A/inflammasome pathway;Interleukin-1 processing;Interleukin-1 signaling;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Purinergic signaling in leishmaniasis infection;Pyroptosis,R-HSA-448706;R-HSA-5620971;R-HSA-5660668;R-HSA-6783783;R-HSA-6785807;R-HSA-9020702;R-HSA-9660826,,EFO_0000540,immune system disease,1,1,7,0
CHEMBL1201831,CERTOLIZUMAB PEGOL,N/A,True,True,False,82,391;4145;4160;4509,,4.0,,TNF,Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Regulation of TNFR1 signaling;TNFR1-induced NF-kappa-B signaling pathway,R-HSA-5357905;R-HSA-5357956;R-HSA-6783783;R-HSA-6785807,,EFO_0000384,Crohn's disease,2,1,4,0
CHEMBL1201833,GOLIMUMAB,N/A,True,True,False,84,393;4147;4162;4511,,4.0,,TNF,Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Regulation of TNFR1 signaling;TNFR1-induced NF-kappa-B signaling pathway,R-HSA-5357905;R-HSA-5357956;R-HSA-6783783;R-HSA-6785807,,EFO_0000540,immune system disease,2,1,4,0
CHEMBL1201834,CANAKINUMAB,N/A,False,True,False,,164;4189;4352;4356;4360;4397;4536,,4.0,,IL1B,CLEC7A/inflammasome pathway;Interleukin-1 processing;Interleukin-1 signaling;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Purinergic signaling in leishmaniasis infection;Pyroptosis,R-HSA-448706;R-HSA-5620971;R-HSA-5660668;R-HSA-6783783;R-HSA-6785807;R-HSA-9020702;R-HSA-9660826,,EFO_0000540,immune system disease,1,1,7,0
CHEMBL1201891,DEFLAZACORT,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,True,True,True,47,739;2048;5963;7867;8004;8070;8141;8207;8273,230,4.0,,NR3C1,"Circadian Clock;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Nuclear Receptor transcription pathway;PTK6 Expression;Potential therapeutics for SARS;Regulation of NPAS4 gene transcription;Regulation of RUNX2 expression and activity;SUMOylation of intracellular receptors",R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,MONDO_0010679,Duchenne muscular dystrophy,3,1,9,1
CHEMBL1205,NELFINAVIR MESYLATE,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,False,False,True,,,392,,,,,,Human immunodeficiency virus type 1 protease inhibitor,,,1,0,0,1
CHEMBL1206232,FOSBRETABULIN,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,True,True,False,834;1567;2002;2242;2347;2411;2718;2782;2846,1547;1611;1675;1739;1803;1867;1931;2096;2160;2224;2288;2352;2416;2480;2544;2608;2672;2736;2800;2864;2928;2992;3062;3126;3190;3254;3318;3382;3446;3510;3574;3665;3729;3793;3857;3921;3985;4052,,3.0,Withdrawn,TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8,AURKA Activation by TPX2;Activation of AMPK downstream of NMDARs;Aggrephagy;Anchoring of the basal body to the plasma membrane;Assembly and cell surface presentation of NMDA receptors;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;COPI-mediated anterograde transport;Carboxyterminal post-translational modifications of tubulin;Cilium Assembly;EML4 and NUDC in mitotic spindle formation;Formation of tubulin folding intermediates by CCT/TriC;Gap junction assembly;HCMV Early Events;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Hedgehog 'off' state;Intraflagellar transport;Kinesins;Loss of Nlp from mitotic centrosomes;Loss of proteins required for interphase microtubule organization from the centrosome;MHC class II antigen presentation;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Mitotic Prometaphase;Neutrophil degranulation;PKR-mediated signaling;Post-chaperonin tubulin folding pathway;Prefoldin mediated transfer of substrate to CCT/TriC;RHO GTPases Activate Formins;RHO GTPases activate IQGAPs;Recruitment of NuMA to mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes;Recycling pathway of L1;Regulation of PLK1 Activity at G2/M Transition;Resolution of Sister Chromatid Cohesion;Sealing of the nuclear envelope (NE) by ESCRT-III;Separation of Sister Chromatids;The role of GTSE1 in G2/M progression after G2 checkpoint;Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1445148;R-HSA-190840;R-HSA-190861;R-HSA-2132295;R-HSA-2467813;R-HSA-2500257;R-HSA-2565942;R-HSA-3371497;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-389957;R-HSA-389960;R-HSA-389977;R-HSA-437239;R-HSA-5610787;R-HSA-5617833;R-HSA-5620912;R-HSA-5620924;R-HSA-5626467;R-HSA-5663220;R-HSA-6798695;R-HSA-6807878;R-HSA-6811434;R-HSA-6811436;R-HSA-68877;R-HSA-8852276;R-HSA-8854518;R-HSA-8955332;R-HSA-9609690;R-HSA-9609736;R-HSA-9619483;R-HSA-9646399;R-HSA-9648025;R-HSA-9668328;R-HSA-983189;R-HSA-9833482,,MONDO_0002108,thyroid cancer,2,9,38,0
CHEMBL1206690,PARECOXIB,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,True,True,False,142,365;4483;5692;6076;6150;6224;6298;6372;6446,,4.0,,PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,,EFO_0005755,rheumatic disease,2,1,9,0
CHEMBL1207366,GW468816,O=C(O)C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,True,True,True,723;1621;1967;2195;2618;2660;2684,3629;6813;6840;6867;6900;7058;7085;7112;7139,397,2.0,Completed,GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,"Assembly and cell surface presentation of NMDA receptors;EPHB-mediated forward signaling;Long-term potentiation;Negative regulation of NMDA receptor-mediated neuronal transmission;Neurexins and neuroligins;RAF/MAP kinase cascade;Ras activation upon Ca2+ influx through NMDA receptor;Synaptic adhesion-like molecules;Unblocking of NMDA receptors, glutamate binding and activation",R-HSA-3928662;R-HSA-438066;R-HSA-442982;R-HSA-5673001;R-HSA-6794361;R-HSA-8849932;R-HSA-9609736;R-HSA-9617324;R-HSA-9620244,Glutamate [NMDA] receptor antagonist,EFO_0003768,nicotine dependence,3,7,9,1
CHEMBL1209734,BMS-986094,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(N[C@@H](C)C(=O)OCC(C)(C)C)Oc2cccc3ccccc23)[C@@H](O)[C@@]1(C)O,False,False,True,,,433,,,,,,RNA-directed RNA polymerase inhibitor,,,1,0,0,1
CHEMBL1213351,PROPOXYPHENE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,True,True,False,305,275;1309;7222,,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,,EFO_0003843,pain,2,1,3,0
CHEMBL1214827,ONALESPIB,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,False,False,True,,,584,,,,,,Heat shock protein HSP90 inhibitor,,,1,0,0,1
CHEMBL1215,PHENYLEPHRINE,CNC[C@H](O)c1cccc(O)c1,True,True,False,365;1458;1813,828;6490;6690,,4.0,,ADRA1A;ADRA1B;ADRA1D,Adrenoceptors;G alpha (12/13) signalling events;G alpha (q) signalling events,R-HSA-390696;R-HSA-416476;R-HSA-418597,,EFO_0000319,cardiovascular disease,2,3,3,0
CHEMBL1215661,PRUVANSERIN,N#Cc1c[nH]c2c(C(=O)N3CCN(CCc4ccc(F)cc4)CC3)cccc12,False,False,True,,,701,,,,,,Serotonin 2a (5-HT2a) receptor antagonist,,,1,0,0,1
CHEMBL122,ROFECOXIB,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,True,True,False,128,351;4469;5678;6062;6136;6210;6284;6358;6432,,4.0,,PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,,EFO_0005755,rheumatic disease,2,1,9,0
CHEMBL1224,ACRIVASTINE,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,True,True,False,1000,6630,,4.0,,HRH1,G alpha (q) signalling events,R-HSA-416476,,MONDO_0005271,allergic disease,2,1,1,0
CHEMBL1230065,BMS-582949,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,False,False,True,,,94,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1230314,ESTETROL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,True,False,False,2290,,,4.0,,ESR1,,,,EFO_0002950,pregnancy,1,1,0,0
CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,True,True,False,1128;1171,576;6988;7026;7522,,2.0,Completed,KIT;PDGFRB,RAF/MAP kinase cascade;Signaling by SCF-KIT;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-1433557;R-HSA-5673001;R-HSA-8866910,,EFO_0000616,neoplasm,2,2,3,0
CHEMBL1231124,AZD-1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,True,True,True,799,224;686;4596;4675;4754;4861;4930;4996;5062;5106;5172;5338;5404;6951;7485;8314;8342;8370;8404;8432;8460,477,1.0,Terminated,JAK2,"IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signaling;Interleukin-12 signaling;Interleukin-20 family signaling;Interleukin-23 signaling;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signaling;MAPK1 (ERK2) activation;MAPK3 (ERK1) activation;Potential therapeutics for SARS;Prolactin receptor signaling;RAF activation;RAF/MAP kinase cascade;RMTs methylate histone arginines;Signaling by CSF3 (G-CSF);Signaling by Leptin;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutants",R-HSA-1059683;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1433557;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-8854691;R-HSA-8984722;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9674555;R-HSA-9679191;R-HSA-9705462,Tyrosine-protein kinase JAK2 inhibitor,EFO_0000182,hepatocellular carcinoma,3,1,21,1
CHEMBL1236936,CINACIGUAT,O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1,True,True,True,76,7692,252,2.0,Terminated,GUCY1B1,Smooth Muscle Contraction,R-HSA-445355,Soluble guanylate cyclase activator,EFO_0000373,congestive heart failure,3,1,1,1
CHEMBL1237,LISINOPRIL ANHYDROUS,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,True,True,False,653,449,,3.0,Withdrawn,ACE,Metabolism of Angiotensinogen to Angiotensins,R-HSA-2022377,,EFO_0000319,cardiovascular disease,2,1,1,0
CHEMBL1237022,TOCILIZUMAB,N/A,False,True,False,,177;639;4549;4628;4707;7148,,4.0,,IL6R,Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signaling;MAPK1 (ERK2) activation;MAPK3 (ERK1) activation;Potential therapeutics for SARS;Transcriptional regulation of granulopoiesis,R-HSA-1059683;R-HSA-110056;R-HSA-112411;R-HSA-6785807;R-HSA-9616222;R-HSA-9679191,,EFO_0000540,immune system disease,1,1,6,0
CHEMBL1237044,TRAMADOL,COc1cccc(C2(O)CCCCC2CN(C)C)c1,True,True,False,280,250;1284;7197,,4.0,Recruiting,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,,EFO_0003843,pain,2,1,3,0
CHEMBL1237055,HYDROMORPHONE HYDROCHLORIDE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5.Cl,True,True,True,281,251;1285;7198,628,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,Mu opioid receptor agonist,EFO_0003843,pain,3,1,3,1
CHEMBL1237061,PITAVASTATIN CALCIUM,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],True,True,True,742,7621;7636;7651;7666,26,4.0,,HMGCR,Activation of gene expression by SREBF (SREBP);Cholesterol biosynthesis;EGR2 and SOX10-mediated initiation of Schwann cell myelination;PPARA activates gene expression,R-HSA-191273;R-HSA-1989781;R-HSA-2426168;R-HSA-9619665,HMG-CoA reductase inhibitor,EFO_0004911,familial hypercholesterolemia,3,1,4,1
CHEMBL1237065,TRAMADOL HYDROCHLORIDE,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl,True,True,True,282,252;1286;7199,629,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,Mu opioid receptor agonist,EFO_0003843,pain,3,1,3,1
CHEMBL1237072,DIRITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,False,False,True,,,311,,,,,,Bacterial 70S ribosome inhibitor,,,1,0,0,1
CHEMBL1237102,LEVOCABASTINE HYDROCHLORIDE,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1.Cl,True,True,False,1032,6662,,3.0,Completed,HRH1,G alpha (q) signalling events,R-HSA-416476,,EFO_1001417,"Rhinitis, Allergic, Perennial",2,1,1,0
CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl,True,True,True,283,253;1287;7200,650,4.0,,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,Mu opioid receptor agonist,EFO_0003843,pain,3,1,3,1
CHEMBL1241,TRIPELENNAMINE,CN(C)CCN(Cc1ccccc1)c1ccccn1,True,True,False,985,6615,,4.0,,HRH1,G alpha (q) signalling events,R-HSA-416476,,HP_0000989,Pruritus,2,1,1,0
CHEMBL124660,TANDUTINIB,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,True,True,False,1127;1170,575;6987;7025;7521,,2.0,Completed,KIT;PDGFRB,RAF/MAP kinase cascade;Signaling by SCF-KIT;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-1433557;R-HSA-5673001;R-HSA-8866910,,EFO_0000349,clear cell renal carcinoma,2,2,3,0
CHEMBL1255582,FIPAMEZOLE,CCC1(c2c[nH]cn2)Cc2ccc(F)cc2C1,True,True,False,1349;1401;2549,920;972;1024;1076;1128;1180;1232;1412;1464;1516,,2.0,Completed,ADRA2A;ADRA2B;ADRA2C,"Adrenaline signalling through Alpha-2 adrenergic receptor;Adrenaline,noradrenaline inhibits insulin secretion;Adrenoceptors;G alpha (i) signalling events;G alpha (z) signalling events;Surfactant metabolism",R-HSA-390696;R-HSA-392023;R-HSA-400042;R-HSA-418594;R-HSA-418597;R-HSA-5683826,,MONDO_0005180,Parkinson disease,2,3,6,0
CHEMBL1255794,APLAVIROC,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,True,True,False,215,1257;4374;6756;6780,,3.0,Terminated,CCR5,Binding and entry of HIV virion;Chemokine receptors bind chemokines;G alpha (i) signalling events;Interleukin-10 signaling,R-HSA-173107;R-HSA-380108;R-HSA-418594;R-HSA-6783783,,EFO_0000764,HIV infection,2,1,4,0
